Colaborador,Suggestion ID,Correction ID,Product ID,Ver PDP,Dominio,Seccion,Accion,Atributo,Valor actual,Valor sugerido,URL imagen sugerida,Decision esperada,Decision respondida,Coincide decision,Codigo esperado,Codigo respondido,Coincide codigo,Comentario colaborador,Revisado previamente,Fecha de accionado,SCRIPT,COLAB,Comentario,TL auditor,Difiere S/C
DAIPEREY,Netkel-AYW,887098105,MLA28182363,https://www.mercadolibre.com.ar/p/MLA28182363,PENS,attribute,UPDATE,BRAND,Cross,AuroraScript,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,NO,6/05/2026 14:06:14,,,,,
DAIPEREY,Netkel-AYW,887098106,MLA28182363,https://www.mercadolibre.com.ar/p/MLA28182363,PENS,attribute,UPDATE,MODEL,Century Medalist,Helix Regent Prime,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,NO,6/05/2026 14:06:15,,,,,
DAIPEREY,Netkel-AYW,887098107,MLA28182363,https://www.mercadolibre.com.ar/p/MLA28182363,PENS,attribute,UPDATE,LINE,De regalo,Edición Ejecutiva,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,NO,6/05/2026 14:06:15,,,,,
DAIPEREY,Netkel-AYW,887098108,MLA28182363,https://www.mercadolibre.com.ar/p/MLA28182363,PENS,attribute,UPDATE,EXTERIOR_COLOR,Cromado,Negro ónix,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,NO,6/05/2026 14:06:16,,,,,
DAIPEREY,Netkel-AYW,887098109,MLA28182363,https://www.mercadolibre.com.ar/p/MLA28182363,PENS,title,UPDATE,,Boligrafo Cross Century Medalist Clip Dorado Bañado Oro Color de la tinta Negro Color del exterior Cromado,"Bolígrafo AuroraScript Helix Regent Prime Edición Ejecutiva clip dorado bañado en oro, tinta negra, exterior negro ónix",,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,NO,6/05/2026 14:06:16,,,,,
FLAGUSTI,Netkel-AZU,577942116,MLA27576518,https://www.mercadolibre.com.ar/p/MLA27576518,AUXILIARY_AND_COFFEE_TABLES,attribute,UPDATE,COLOR,Olmo Gris,Bambú Cobre,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:08:04,,,,,
FLAGUSTI,Netkel-AZU,577942117,MLA27576518,https://www.mercadolibre.com.ar/p/MLA27576518,AUXILIARY_AND_COFFEE_TABLES,title,UPDATE,,Mesa Ratona Rectangular Con Cajon Living Melamina Color Olmo Gris,Mesa Ratona Rectangular Con Cajon Living Melamina Color Bambú Cobre,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:08:04,,,,,
MASEINHA,Netkel-AWF,728309864,MLA60045106,https://www.mercadolibre.com.ar/p/MLA60045106,TABLETOP_WATER_FOUNTAINS,attribute,UPDATE,COLOR,Elefante 2,Fénix Dorado 9,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:08:09,,,,,
MASEINHA,Netkel-AWF,728309865,MLA60045106,https://www.mercadolibre.com.ar/p/MLA60045106,TABLETOP_WATER_FOUNTAINS,title,UPDATE,,Fuente De Agua Mediana 26cm Cuencos Cascada Interior Deco Zn Color Elefante 2,Fuente De Agua Mediana 26cm Cuencos Cascada Interior Deco Zn Color Fénix Dorado 9,,RECHAZO,RECHAZO,SI,E-NCP,E-NCP,SI,,SI,6/05/2026 14:08:09,,,,,
DAIPEREY,Netkel-AYY,708910536,MLA53177766,https://www.mercadolibre.com.ar/p/MLA53177766,CELLPHONES,attribute,UPDATE,COLOR,Gris,Negro,,RECHAZO,APROBACION,NO,E-DUPA,,NO,,NO,6/05/2026 14:08:11,NOT OK,OK,Se genero con un producto duplicado,,SI
